num递增,motor电机控制器地址,flg可用标识,tmp预留,node1控制器地址1,val1控制器值1,node2控制器地址2,val2控制器值2,,,,val1（ HEX）,val2（ HEX）
1,70,1,0,1,15,0,0,控制箱1,光电4通道,,F,0
2,71,1,0,1,240,0,0,,光电4通道,,F0,0
3,69,1,0,1,3840,0,0,,光电4通道,,F00,0
4,69,1,0,1,61440,0,0,,光电4通道,,F000,0
5,70,1,0,2,15,0,0,,光电4通道,,F,0
6,71,1,0,2,240,0,0,,光电4通道,,F0,0
7,68,1,0,2,3840,0,0,,光电4通道,,F00,0
8,68,1,0,2,61440,0,0,,光电4通道,,F000,0
9,66,1,0,3,15,0,0,,光电4通道,,F,0
10,66,1,0,3,240,0,0,,光电4通道,,F0,0
11,67,1,0,3,3840,0,0,,光电4通道,,F00,0
12,67,1,0,3,61440,0,0,,光电4通道,,F000,0
13,70,1,0,4,15,0,0,控制箱2,光电4通道,,F,0
14,71,1,0,4,240,0,0,,光电4通道,,F0,0
15,69,1,0,4,3840,0,0,,光电4通道,,F00,0
16,69,1,0,4,61440,0,0,,光电4通道,,F000,0
17,70,1,0,5,15,0,0,,光电4通道,,F,0
18,70,1,0,5,240,0,0,,光电4通道,,F0,0
19,70,1,0,5,3840,0,0,,光电4通道,,F00,0
20,70,1,0,5,61440,0,0,,光电4通道,,F000,0
21,66,1,0,6,15,0,0,,光电4通道,,F,0
22,66,1,0,6,240,0,0,,光电4通道,,F0,0
23,67,1,0,6,3840,0,0,,光电4通道,,F00,0
24,67,1,0,6,61440,0,0,,光电4通道,,F000,0
25,68,1,0,7,63,0,0,控制箱3,霍尔6通道,1,3F,0
26,72,1,0,7,4032,0,0,,霍尔6通道,2,FC0,0
27,72,1,0,7,61440,8,3,,霍尔6通道,3,FC00,3
28,72,1,0,8,252,0,0,,霍尔6通道,4,FC,0
29,72,1,0,8,16128,0,0,,霍尔6通道,5,3F00,0
30,72,1,0,8,49152,9,15,,霍尔6通道,6,C000,F
31,72,1,0,9,1008,0,0,,霍尔6通道,7,3F0,0
32,72,1,0,9,64512,0,0,,霍尔6通道,8,FC00,0
33,68,1,0,10,63,0,0,控制箱4,霍尔6通道,,3F,0
34,69,1,0,10,4032,0,0,,霍尔6通道,,FC0,0
35,69,1,0,10,61440,11,3,,霍尔6通道,,FC00,3
36,72,1,0,11,252,0,0,,霍尔6通道,,FC,0
37,72,1,0,11,256,0,0,,霍尔6通道,,3F00,0
38,72,1,0,11,512,0,0,,霍尔6通道,,C000,F
39,72,1,0,11,3072,0,0,,霍尔6通道,,3F0,0
40,72,1,0,11,12288,0,0,,霍尔6通道,,FC00,0
41,72,1,0,11,49152,0,0,,霍尔6通道,,,
42,73,1,0,12,16,0,0,,霍尔6通道,,,
43,73,1,0,12,32,0,0,,霍尔6通道,,,
44,73,1,0,12,64,0,0,,霍尔6通道,,,
45,73,1,0,12,128,0,0,,霍尔6通道,,,
46,73,1,0,12,256,0,0,,霍尔6通道,,,
47,73,0,0,11,49152,0,0,,霍尔6通道,,,
48,73,0,0,11,49152,0,0,,霍尔6通道,,,
49,73,0,0,11,49152,0,0,,霍尔6通道,,,
50,73,0,0,11,49152,0,0,,霍尔6通道,,,
51,73,0,0,11,49152,0,0,,霍尔6通道,,,
52,73,0,0,11,49152,0,0,,霍尔6通道,,,
53,73,0,0,11,49152,0,0,,霍尔6通道,,,
54,73,0,0,11,49152,0,0,,霍尔6通道,,,
55,73,0,0,11,49152,0,0,,霍尔6通道,,,
56,73,0,0,11,49152,0,0,,霍尔6通道,,,
57,73,0,0,11,49152,0,0,,霍尔6通道,,,
58,73,0,0,11,49152,0,0,,霍尔6通道,,,
59,73,0,0,11,49152,0,0,,霍尔6通道,,,
60,73,1,0,13,1,,,控制箱5,压传,,,
61,73,1,0,13,2,,,,压传,,,
62,73,1,0,13,4,,,,压传,,,
63,73,1,0,13,8,,,,压传,,,
64,73,1,0,13,16,,,,压传,,,
65,73,1,0,13,32,,,,压传,,,
66,73,1,0,13,64,,,,压传,,,
67,73,1,0,13,128,,,,压传,,,
68,73,1,0,13,256,,,,压传,,,
69,73,1,0,13,512,,,,压传,,,
70,73,1,0,13,1024,,,,压传,,,
71,73,1,0,13,2048,,,,压传,,,
72,73,1,0,13,4096,,,,压传,,,
73,73,1,0,13,8192,,,,压传,,,
74,73,1,0,13,16384,,,,压传,,,
75,73,1,0,13,32768,,,,压传,,,
76,73,1,0,14,1,,,,压传,,,
77,73,1,0,14,2,,,,压传,,,
78,73,1,0,14,4,,,,压传,,,
79,73,1,0,14,8,,,,压传,,,
